user_id,aggregated_file,number_of_records,file_size,aggregation_duration
1,user_1_aggregated.txt,50,51642,0.05651719999150373
10,user_10_aggregated.txt,50,51702,0.05719870000029914
100,user_100_aggregated.txt,51,52332,0.06383510000887327
101,user_101_aggregated.txt,51,52354,0.06117830000584945
102,user_102_aggregated.txt,50,51601,0.03167419999954291
103,user_103_aggregated.txt,50,51657,0.03032980000716634
104,user_104_aggregated.txt,51,52329,0.05261759998393245
105,user_105_aggregated.txt,50,51679,0.054347600002074614
106,user_106_aggregated.txt,50,51652,0.06160789998830296
107,user_107_aggregated.txt,51,52348,0.06893019998096861
108,user_108_aggregated.txt,51,52389,0.054563899990171194
109,user_109_aggregated.txt,50,51630,0.05680799999390729
11,user_11_aggregated.txt,51,52304,0.05688650000956841
110,user_110_aggregated.txt,50,51515,0.053283799992641434
111,user_111_aggregated.txt,51,52354,0.05930259998422116
112,user_112_aggregated.txt,50,51604,0.05250560000422411
113,user_113_aggregated.txt,50,51531,0.049717499990947545
114,user_114_aggregated.txt,50,51422,0.08784880000166595
115,user_115_aggregated.txt,50,51500,0.06460909999441355
116,user_116_aggregated.txt,50,51467,0.08593450000626035
117,user_117_aggregated.txt,50,51459,0.0568401999771595
118,user_118_aggregated.txt,51,52416,0.04283459999714978
119,user_119_aggregated.txt,51,52298,0.05536870000651106
12,user_12_aggregated.txt,50,51553,0.04093840002315119
120,user_120_aggregated.txt,50,51679,0.03527729999041185
121,user_121_aggregated.txt,51,52311,0.041289899992989376
122,user_122_aggregated.txt,50,51646,0.1202589999884367
123,user_123_aggregated.txt,50,51412,0.05370079999556765
124,user_124_aggregated.txt,50,51481,0.1141646999749355
125,user_125_aggregated.txt,50,51512,0.07180300002801232
126,user_126_aggregated.txt,50,51475,0.04587500001071021
127,user_127_aggregated.txt,50,51604,0.05355460001737811
128,user_128_aggregated.txt,50,51571,0.04299660000833683
129,user_129_aggregated.txt,51,52427,0.03059209999628365
13,user_13_aggregated.txt,51,52323,0.03881249998812564
130,user_130_aggregated.txt,50,51534,0.043484199995873496
131,user_131_aggregated.txt,50,51541,0.050308399979257956
132,user_132_aggregated.txt,50,51504,0.055289699987042695
133,user_133_aggregated.txt,50,51481,0.08654409999144264
134,user_134_aggregated.txt,51,52404,0.06430349999573082
135,user_135_aggregated.txt,50,51606,0.04079790000105277
136,user_136_aggregated.txt,50,51582,0.030387999984668568
137,user_137_aggregated.txt,50,51546,0.030029699992155656
138,user_138_aggregated.txt,51,52352,0.030949200008763
139,user_139_aggregated.txt,51,52355,0.031751600006828085
14,user_14_aggregated.txt,51,52415,0.03143229999113828
140,user_140_aggregated.txt,50,51561,0.028331999987130985
141,user_141_aggregated.txt,51,52367,0.03587390002212487
142,user_142_aggregated.txt,50,51437,0.02899230000912212
143,user_143_aggregated.txt,50,51570,0.04981989998486824
144,user_144_aggregated.txt,50,51708,0.07300110001233406
145,user_145_aggregated.txt,51,52397,0.07716789998812601
146,user_146_aggregated.txt,51,52394,0.060968700010562316
147,user_147_aggregated.txt,50,51454,0.06168309997883625
148,user_148_aggregated.txt,50,51632,0.05425330001162365
149,user_149_aggregated.txt,51,52407,0.03116260000388138
15,user_15_aggregated.txt,50,51567,0.028810399991925806
150,user_150_aggregated.txt,50,51612,0.03452180000022054
151,user_151_aggregated.txt,50,51425,0.04794789999141358
152,user_152_aggregated.txt,51,52376,0.057426199986366555
153,user_153_aggregated.txt,50,51626,0.06579880000208504
154,user_154_aggregated.txt,50,51623,0.06141430002753623
155,user_155_aggregated.txt,50,51466,0.056528600020101294
156,user_156_aggregated.txt,50,51594,0.05203290001372807
157,user_157_aggregated.txt,51,52361,0.05949369998415932
158,user_158_aggregated.txt,50,51424,0.05386500002350658
159,user_159_aggregated.txt,51,52361,0.05254059997969307
16,user_16_aggregated.txt,50,51483,0.030601600010413677
160,user_160_aggregated.txt,50,51637,0.036651200003689155
161,user_161_aggregated.txt,50,51608,0.036836299987044185
162,user_162_aggregated.txt,50,51413,0.03548590000718832
163,user_163_aggregated.txt,50,51671,0.03621230000862852
164,user_164_aggregated.txt,51,52397,0.03440899998531677
