Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,9.822845458984375e-05,3.814697265625e-05,3.218650817871094e-05,3.910064697265625e-05,2.6226043701171875e-05,3.6716461181640625e-05,32
2,1.8596649169921875e-05,2.3603439331054688e-05,1.621246337890625e-05,2.4557113647460938e-05,1.2159347534179688e-05,1.1920928955078125e-05,32
3,0.0006680488586425781,8.082389831542969e-05,1.8358230590820312e-05,1.8835067749023438e-05,1.2636184692382812e-05,1.3589859008789062e-05,32
4,1.5974044799804688e-05,1.33514404296875e-05,1.2636184692382812e-05,1.4066696166992188e-05,1.2874603271484375e-05,1.2159347534179688e-05,32
5,6.103515625e-05,1.9550323486328125e-05,1.621246337890625e-05,4.9114227294921875e-05,1.3113021850585938e-05,1.2636184692382812e-05,32
6,2.9802322387695312e-05,1.8358230590820312e-05,3.0040740966796875e-05,1.6927719116210938e-05,1.3113021850585938e-05,1.2159347534179688e-05,32
7,3.3855438232421875e-05,1.1920928955078125e-05,1.3113021850585938e-05,1.7881393432617188e-05,1.9550323486328125e-05,1.9550323486328125e-05,32
8,3.24249267578125e-05,3.24249267578125e-05,1.2636184692382812e-05,1.3589859008789062e-05,1.1205673217773438e-05,1.1444091796875e-05,32
9,1.1205673217773438e-05,7.62939453125e-06,8.106231689453125e-06,8.344650268554688e-06,7.62939453125e-06,7.62939453125e-06,32
10,8.58306884765625e-06,7.867813110351562e-06,7.62939453125e-06,8.106231689453125e-06,7.62939453125e-06,7.3909759521484375e-06,32
11,1.52587890625e-05,3.8623809814453125e-05,1.7642974853515625e-05,1.9788742065429688e-05,1.7404556274414062e-05,1.7881393432617188e-05,32
12,1.6689300537109375e-05,8.106231689453125e-06,7.3909759521484375e-06,7.3909759521484375e-06,7.152557373046875e-06,6.9141387939453125e-06,32
13,2.5033950805664062e-05,8.821487426757812e-06,7.152557373046875e-06,8.58306884765625e-06,1.2159347534179688e-05,1.4543533325195312e-05,32
14,1.2159347534179688e-05,1.1444091796875e-05,7.867813110351562e-06,7.3909759521484375e-06,6.9141387939453125e-06,6.9141387939453125e-06,32
15,1.8835067749023438e-05,9.059906005859375e-06,1.33514404296875e-05,3.0040740966796875e-05,2.2649765014648438e-05,2.2411346435546875e-05,32
16,1.0728836059570312e-05,7.62939453125e-06,7.152557373046875e-06,7.3909759521484375e-06,6.9141387939453125e-06,6.67572021484375e-06,32
17,9.775161743164062e-06,1.1444091796875e-05,1.1444091796875e-05,1.3828277587890625e-05,1.1444091796875e-05,1.0967254638671875e-05,32
18,9.298324584960938e-06,6.9141387939453125e-06,6.4373016357421875e-06,7.3909759521484375e-06,6.67572021484375e-06,6.67572021484375e-06,32
19,1.33514404296875e-05,1.1682510375976562e-05,1.2636184692382812e-05,2.5510787963867188e-05,2.3126602172851562e-05,1.52587890625e-05,32
20,1.1920928955078125e-05,7.62939453125e-06,7.3909759521484375e-06,8.106231689453125e-06,7.62939453125e-06,0.00034499168395996094,32
21,3.838539123535156e-05,1.7881393432617188e-05,2.5272369384765625e-05,2.3126602172851562e-05,2.384185791015625e-05,1.5974044799804688e-05,32
