Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,File Size (bytes)
1,0.00021409988403320312,1.8596649169921875e-05,9.5367431640625e-06,565738
2,1.0013580322265625e-05,8.106231689453125e-06,7.867813110351562e-06,565738
3,9.775161743164062e-06,8.58306884765625e-06,1.0967254638671875e-05,565738
4,8.821487426757812e-06,6.67572021484375e-06,8.821487426757812e-06,565738
5,1.5735626220703125e-05,1.0728836059570312e-05,9.775161743164062e-06,565738
6,1.5497207641601562e-05,1.049041748046875e-05,7.152557373046875e-06,565738
7,9.5367431640625e-06,6.67572021484375e-06,6.9141387939453125e-06,565738
8,1.239776611328125e-05,6.4373016357421875e-06,6.4373016357421875e-06,565738
9,7.152557373046875e-06,6.9141387939453125e-06,8.106231689453125e-06,565738
10,8.106231689453125e-06,7.3909759521484375e-06,6.198883056640625e-06,565738
11,7.152557373046875e-06,6.4373016357421875e-06,6.9141387939453125e-06,565738
12,2.6464462280273438e-05,8.344650268554688e-06,7.3909759521484375e-06,565738
13,1.2636184692382812e-05,1.52587890625e-05,1.33514404296875e-05,565738
14,1.049041748046875e-05,7.3909759521484375e-06,7.152557373046875e-06,565738
15,8.344650268554688e-06,7.152557373046875e-06,6.9141387939453125e-06,565738
16,8.58306884765625e-06,6.4373016357421875e-06,6.67572021484375e-06,565738
17,2.0265579223632812e-05,7.867813110351562e-06,6.67572021484375e-06,565738
18,8.821487426757812e-06,7.3909759521484375e-06,1.049041748046875e-05,565738
19,1.3113021850585938e-05,6.198883056640625e-06,6.4373016357421875e-06,565738
20,7.867813110351562e-06,6.67572021484375e-06,7.3909759521484375e-06,565738
21,8.106231689453125e-06,7.152557373046875e-06,6.67572021484375e-06,565738
22,3.552436828613281e-05,3.24249267578125e-05,1.5974044799804688e-05,565738
23,1.7404556274414062e-05,3.147125244140625e-05,2.6226043701171875e-05,565738
24,1.0967254638671875e-05,8.58306884765625e-06,7.152557373046875e-06,565738
25,9.775161743164062e-06,8.821487426757812e-06,8.58306884765625e-06,565738
26,8.106231689453125e-06,7.152557373046875e-06,6.9141387939453125e-06,565738
27,7.867813110351562e-06,6.9141387939453125e-06,6.9141387939453125e-06,565738
28,1.33514404296875e-05,6.9141387939453125e-06,6.9141387939453125e-06,565738
29,8.58306884765625e-06,7.867813110351562e-06,7.3909759521484375e-06,565738
30,9.298324584960938e-06,7.62939453125e-06,6.4373016357421875e-06,565738
31,1.5974044799804688e-05,1.0728836059570312e-05,7.3909759521484375e-06,565738
32,9.298324584960938e-06,7.152557373046875e-06,7.3909759521484375e-06,565738
33,9.5367431640625e-06,7.3909759521484375e-06,6.9141387939453125e-06,565738
34,9.5367431640625e-06,7.152557373046875e-06,6.9141387939453125e-06,565738
35,9.775161743164062e-06,7.3909759521484375e-06,7.867813110351562e-06,565738
36,8.58306884765625e-06,7.867813110351562e-06,7.152557373046875e-06,565738
37,9.059906005859375e-06,7.62939453125e-06,1.0013580322265625e-05,565738
38,1.621246337890625e-05,3.7670135498046875e-05,9.775161743164062e-06,565738
