Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,7.033348083496094e-05,1.430511474609375e-05,9.775161743164062e-06,9.775161743164062e-06,8.535385131835938e-05,2.7418136596679688e-05,463174
2,1.811981201171875e-05,9.298324584960938e-06,7.3909759521484375e-06,7.867813110351562e-06,7.152557373046875e-06,7.3909759521484375e-06,463174
3,8.58306884765625e-06,7.152557373046875e-06,6.9141387939453125e-06,7.62939453125e-06,6.9141387939453125e-06,6.9141387939453125e-06,463174
4,8.344650268554688e-06,7.152557373046875e-06,6.9141387939453125e-06,7.62939453125e-06,6.9141387939453125e-06,6.9141387939453125e-06,463174
5,8.106231689453125e-06,7.3909759521484375e-06,6.9141387939453125e-06,8.106231689453125e-06,6.9141387939453125e-06,7.152557373046875e-06,463174
6,1.1920928955078125e-05,2.2411346435546875e-05,2.3126602172851562e-05,2.4557113647460938e-05,2.3365020751953125e-05,1.9311904907226562e-05,463174
7,2.193450927734375e-05,1.6450881958007812e-05,2.5987625122070312e-05,1.4781951904296875e-05,1.2159347534179688e-05,2.09808349609375e-05,463174
8,2.2649765014648438e-05,1.4066696166992188e-05,1.9788742065429688e-05,1.7404556274414062e-05,1.1682510375976562e-05,1.8835067749023438e-05,463174
9,4.792213439941406e-05,1.7642974853515625e-05,8.106231689453125e-06,8.344650268554688e-06,7.62939453125e-06,9.059906005859375e-06,463174
10,8.58306884765625e-06,7.152557373046875e-06,7.62939453125e-06,2.1457672119140625e-05,6.4373016357421875e-06,6.9141387939453125e-06,463174
11,8.344650268554688e-06,0.00013113021850585938,1.6927719116210938e-05,8.821487426757812e-06,7.152557373046875e-06,6.9141387939453125e-06,463174
12,8.58306884765625e-06,6.9141387939453125e-06,6.9141387939453125e-06,7.3909759521484375e-06,9.298324584960938e-06,1.0728836059570312e-05,463174
13,8.344650268554688e-06,6.9141387939453125e-06,7.867813110351562e-06,1.0967254638671875e-05,6.9141387939453125e-06,6.9141387939453125e-06,463174
14,1.0967254638671875e-05,1.239776611328125e-05,1.9073486328125e-05,9.5367431640625e-06,7.3909759521484375e-06,7.3909759521484375e-06,463174
15,2.47955322265625e-05,0.0001049041748046875,3.075599670410156e-05,2.002716064453125e-05,1.7881393432617188e-05,1.7642974853515625e-05,463174
16,2.0742416381835938e-05,1.52587890625e-05,1.4781951904296875e-05,1.6689300537109375e-05,1.4543533325195312e-05,1.4781951904296875e-05,463174
17,2.2649765014648438e-05,1.6450881958007812e-05,1.8835067749023438e-05,1.9788742065429688e-05,8.821487426757812e-06,7.152557373046875e-06,463174
18,3.0279159545898438e-05,1.7642974853515625e-05,2.1219253540039062e-05,2.5987625122070312e-05,2.3126602172851562e-05,1.9073486328125e-05,463174
19,3.790855407714844e-05,4.673004150390625e-05,0.0001163482666015625,0.00012350082397460938,5.888938903808594e-05,2.7418136596679688e-05,463174
20,0.000301361083984375,4.8160552978515625e-05,0.000118255615234375,2.5510787963867188e-05,1.2636184692382812e-05,1.1444091796875e-05,463174
21,1.4781951904296875e-05,1.1682510375976562e-05,1.33514404296875e-05,1.2636184692382812e-05,1.3589859008789062e-05,1.71661376953125e-05,463174
22,3.314018249511719e-05,2.193450927734375e-05,3.361701965332031e-05,0.0004229545593261719,4.5299530029296875e-05,2.7179718017578125e-05,463174
23,5.14984130859375e-05,3.3855438232421875e-05,3.0994415283203125e-05,0.00023794174194335938,0.00014019012451171875,0.000629425048828125,463174
24,0.0012209415435791016,0.00021719932556152344,5.91278076171875e-05,7.891654968261719e-05,3.075599670410156e-05,2.288818359375e-05,463174
25,2.9325485229492188e-05,1.4781951904296875e-05,1.2636184692382812e-05,1.5735626220703125e-05,1.2874603271484375e-05,1.7881393432617188e-05,463174
26,3.457069396972656e-05,2.8371810913085938e-05,2.8133392333984375e-05,2.8848648071289062e-05,2.0265579223632812e-05,1.8596649169921875e-05,463174
27,5.054473876953125e-05,2.1219253540039062e-05,2.2411346435546875e-05,4.792213439941406e-05,2.7894973754882812e-05,4.553794860839844e-05,463174
28,2.3603439331054688e-05,1.239776611328125e-05,1.3589859008789062e-05,1.4066696166992188e-05,1.1444091796875e-05,1.1920928955078125e-05,463174
