Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,File Size (bytes)
1,7.939338684082031e-05,2.5272369384765625e-05,1.9550323486328125e-05,32
2,1.8358230590820312e-05,1.4543533325195312e-05,1.3828277587890625e-05,32
3,0.001833200454711914,5.1975250244140625e-05,1.8358230590820312e-05,32
4,2.2411346435546875e-05,1.3589859008789062e-05,1.33514404296875e-05,32
5,1.7404556274414062e-05,1.5020370483398438e-05,1.3828277587890625e-05,32
6,2.288818359375e-05,1.4543533325195312e-05,1.2636184692382812e-05,32
7,1.52587890625e-05,1.3828277587890625e-05,1.2159347534179688e-05,32
8,1.7404556274414062e-05,1.3589859008789062e-05,1.33514404296875e-05,32
9,1.52587890625e-05,1.2636184692382812e-05,1.2636184692382812e-05,32
10,1.52587890625e-05,1.33514404296875e-05,1.4543533325195312e-05,32
11,1.71661376953125e-05,1.3589859008789062e-05,1.4066696166992188e-05,32
12,1.811981201171875e-05,1.4781951904296875e-05,1.4781951904296875e-05,32
13,4.744529724121094e-05,1.8358230590820312e-05,1.3828277587890625e-05,32
14,1.5974044799804688e-05,1.33514404296875e-05,1.3113021850585938e-05,32
15,1.811981201171875e-05,1.2159347534179688e-05,1.33514404296875e-05,32
16,1.6450881958007812e-05,1.3828277587890625e-05,1.33514404296875e-05,32
17,4.5299530029296875e-05,1.6450881958007812e-05,1.5974044799804688e-05,32
18,2.1457672119140625e-05,1.3589859008789062e-05,1.2874603271484375e-05,32
19,1.6927719116210938e-05,1.3828277587890625e-05,1.3113021850585938e-05,32
20,1.6689300537109375e-05,1.3113021850585938e-05,1.52587890625e-05,32
21,1.9073486328125e-05,1.4066696166992188e-05,1.3828277587890625e-05,32
22,6.580352783203125e-05,4.076957702636719e-05,1.7642974853515625e-05,32
23,1.7881393432617188e-05,0.001608133316040039,0.00010061264038085938,32
24,3.075599670410156e-05,1.6450881958007812e-05,1.4781951904296875e-05,32
25,0.00011181831359863281,2.8371810913085938e-05,2.288818359375e-05,32
26,4.696846008300781e-05,1.7642974853515625e-05,1.5020370483398438e-05,32
27,2.2172927856445312e-05,1.4781951904296875e-05,1.52587890625e-05,32
28,2.002716064453125e-05,1.430511474609375e-05,1.430511474609375e-05,32
29,1.811981201171875e-05,1.5497207641601562e-05,1.5974044799804688e-05,32
30,5.412101745605469e-05,1.9550323486328125e-05,1.5735626220703125e-05,32
31,1.9788742065429688e-05,1.52587890625e-05,1.4066696166992188e-05,32
32,1.811981201171875e-05,1.3113021850585938e-05,1.2636184692382812e-05,32
33,1.9311904907226562e-05,1.5974044799804688e-05,1.3113021850585938e-05,32
34,1.6927719116210938e-05,1.3589859008789062e-05,1.2874603271484375e-05,32
35,1.8596649169921875e-05,1.2874603271484375e-05,1.33514404296875e-05,32
36,1.8596649169921875e-05,1.3589859008789062e-05,1.3113021850585938e-05,32
37,2.2411346435546875e-05,1.430511474609375e-05,1.2159347534179688e-05,32
38,1.8358230590820312e-05,1.239776611328125e-05,1.2636184692382812e-05,32
39,4.57763671875e-05,2.7418136596679688e-05,2.4080276489257812e-05,32
40,3.4809112548828125e-05,2.5987625122070312e-05,1.4543533325195312e-05,32
41,2.1219253540039062e-05,1.3589859008789062e-05,1.3113021850585938e-05,32
42,3.361701965332031e-05,2.09808349609375e-05,1.7404556274414062e-05,32
43,1.7881393432617188e-05,5.841255187988281e-05,2.5272369384765625e-05,32
44,6.461143493652344e-05,2.4318695068359375e-05,2.7418136596679688e-05,32
45,3.24249267578125e-05,1.5974044799804688e-05,1.6450881958007812e-05,32
46,1.7881393432617188e-05,1.5020370483398438e-05,1.4066696166992188e-05,32
47,1.7881393432617188e-05,1.5020370483398438e-05,1.3828277587890625e-05,32
48,2.1457672119140625e-05,1.33514404296875e-05,1.3589859008789062e-05,32
49,2.0742416381835938e-05,1.5497207641601562e-05,1.4066696166992188e-05,32
50,8.249282836914062e-05,1.811981201171875e-05,1.5020370483398438e-05,32
51,2.1219253540039062e-05,1.3589859008789062e-05,1.2874603271484375e-05,32
52,1.621246337890625e-05,1.3828277587890625e-05,1.2636184692382812e-05,32
53,1.9073486328125e-05,1.4066696166992188e-05,1.3113021850585938e-05,32
54,2.1457672119140625e-05,1.7404556274414062e-05,1.5020370483398438e-05,32
55,1.9311904907226562e-05,1.3828277587890625e-05,1.3589859008789062e-05,32
56,1.8596649169921875e-05,1.3589859008789062e-05,1.4066696166992188e-05,32
57,1.7642974853515625e-05,1.6927719116210938e-05,2.002716064453125e-05,32
58,2.9087066650390625e-05,1.5735626220703125e-05,1.3113021850585938e-05,32
59,7.2479248046875e-05,2.6464462280273438e-05,2.9087066650390625e-05,32
60,5.841255187988281e-05,1.6689300537109375e-05,1.430511474609375e-05,32
61,2.1696090698242188e-05,1.5497207641601562e-05,1.2874603271484375e-05,32
62,1.9550323486328125e-05,1.3828277587890625e-05,1.33514404296875e-05,32
63,2.1696090698242188e-05,1.430511474609375e-05,1.33514404296875e-05,32
64,0.00011754035949707031,3.790855407714844e-05,2.5510787963867188e-05,32
65,3.4332275390625e-05,3.0994415283203125e-05,2.1457672119140625e-05,32
66,2.288818359375e-05,1.52587890625e-05,1.4066696166992188e-05,32
