Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,File Size (bytes)
1,0.00012087821960449219,0.00016927719116210938,5.3882598876953125e-05,32
2,4.5299530029296875e-05,4.267692565917969e-05,0.00010323524475097656,32
3,4.6253204345703125e-05,4.029273986816406e-05,4.57763671875e-05,32
4,3.6716461181640625e-05,3.0994415283203125e-05,2.574920654296875e-05,32
5,2.765655517578125e-05,2.47955322265625e-05,2.5272369384765625e-05,32
6,7.82012939453125e-05,3.7670135498046875e-05,2.956390380859375e-05,32
7,3.62396240234375e-05,3.600120544433594e-05,3.0279159545898438e-05,32
8,3.361701965332031e-05,2.47955322265625e-05,2.5510787963867188e-05,32
9,2.2172927856445312e-05,2.1219253540039062e-05,6.771087646484375e-05,32
10,3.218650817871094e-05,2.193450927734375e-05,2.09808349609375e-05,32
11,2.3365020751953125e-05,2.09808349609375e-05,2.1219253540039062e-05,32
12,5.435943603515625e-05,3.790855407714844e-05,3.0279159545898438e-05,32
13,2.3603439331054688e-05,2.1457672119140625e-05,2.0265579223632812e-05,32
14,3.647804260253906e-05,2.4557113647460938e-05,3.266334533691406e-05,32
15,2.6464462280273438e-05,1.6689300537109375e-05,1.621246337890625e-05,32
16,2.7418136596679688e-05,7.987022399902344e-05,3.218650817871094e-05,32
17,2.4080276489257812e-05,1.71661376953125e-05,3.62396240234375e-05,32
18,3.0040740966796875e-05,3.5762786865234375e-05,3.0517578125e-05,32
19,3.743171691894531e-05,2.0742416381835938e-05,6.556510925292969e-05,32
20,5.221366882324219e-05,2.5510787963867188e-05,1.7881393432617188e-05,32
21,3.4332275390625e-05,2.2411346435546875e-05,1.71661376953125e-05,32
22,2.1219253540039062e-05,1.6689300537109375e-05,1.621246337890625e-05,32
23,2.0265579223632812e-05,1.7404556274414062e-05,2.6464462280273438e-05,32
24,9.72747802734375e-05,2.765655517578125e-05,2.0503997802734375e-05,32
25,2.288818359375e-05,1.71661376953125e-05,1.5974044799804688e-05,32
26,0.00010371208190917969,2.9325485229492188e-05,2.2649765014648438e-05,32
27,6.413459777832031e-05,2.7894973754882812e-05,2.002716064453125e-05,32
28,4.673004150390625e-05,2.8371810913085938e-05,2.4557113647460938e-05,32
29,3.5762786865234375e-05,2.5510787963867188e-05,2.3126602172851562e-05,32
30,6.961822509765625e-05,2.193450927734375e-05,1.5735626220703125e-05,32
31,3.4809112548828125e-05,1.71661376953125e-05,2.3603439331054688e-05,32
32,1.9311904907226562e-05,1.6450881958007812e-05,1.621246337890625e-05,32
33,1.9788742065429688e-05,1.6689300537109375e-05,1.5974044799804688e-05,32
34,3.123283386230469e-05,2.7894973754882812e-05,4.0531158447265625e-05,32
35,0.0001316070556640625,0.0001423358917236328,0.00036787986755371094,32
36,0.0001366138458251953,0.00012135505676269531,5.555152893066406e-05,32
37,2.6941299438476562e-05,1.7642974853515625e-05,1.5974044799804688e-05,32
38,2.0503997802734375e-05,1.7642974853515625e-05,1.6450881958007812e-05,32
39,2.0265579223632812e-05,1.621246337890625e-05,1.5974044799804688e-05,32
40,2.3603439331054688e-05,1.71661376953125e-05,1.6927719116210938e-05,32
41,2.3126602172851562e-05,1.811981201171875e-05,3.409385681152344e-05,32
42,3.4809112548828125e-05,1.9073486328125e-05,1.6927719116210938e-05,32
43,2.2172927856445312e-05,1.52587890625e-05,0.00010895729064941406,32
44,0.0003190040588378906,3.2901763916015625e-05,2.288818359375e-05,32
45,0.0001690387725830078,5.221366882324219e-05,4.0531158447265625e-05,32
46,4.9591064453125e-05,3.838539123535156e-05,3.933906555175781e-05,32
47,0.0003113746643066406,3.838539123535156e-05,1.8835067749023438e-05,32
48,0.00014495849609375,4.792213439941406e-05,0.0006184577941894531,32
49,4.506111145019531e-05,2.3365020751953125e-05,1.9550323486328125e-05,32
50,3.719329833984375e-05,1.9073486328125e-05,1.7404556274414062e-05,32
51,2.1219253540039062e-05,2.47955322265625e-05,3.361701965332031e-05,32
52,4.982948303222656e-05,2.6464462280273438e-05,2.2172927856445312e-05,32
53,0.00010323524475097656,6.628036499023438e-05,6.532669067382812e-05,32
54,5.316734313964844e-05,2.0265579223632812e-05,1.621246337890625e-05,32
55,0.0006575584411621094,2.765655517578125e-05,2.1457672119140625e-05,32
56,3.123283386230469e-05,2.09808349609375e-05,1.9788742065429688e-05,32
57,2.7179718017578125e-05,2.0742416381835938e-05,2.0265579223632812e-05,32
58,8.749961853027344e-05,0.0004222393035888672,5.507469177246094e-05,32
59,4.9591064453125e-05,2.8371810913085938e-05,2.6464462280273438e-05,32
60,0.00011539459228515625,0.00011563301086425781,4.792213439941406e-05,32
61,4.100799560546875e-05,2.3365020751953125e-05,2.2172927856445312e-05,32
62,3.600120544433594e-05,3.719329833984375e-05,0.0001659393310546875,32
63,4.982948303222656e-05,2.7418136596679688e-05,2.4557113647460938e-05,32
64,5.626678466796875e-05,3.3855438232421875e-05,7.319450378417969e-05,32
65,3.719329833984375e-05,1.9073486328125e-05,1.6450881958007812e-05,32
66,2.1696090698242188e-05,1.6689300537109375e-05,1.621246337890625e-05,32
67,2.2172927856445312e-05,1.6450881958007812e-05,1.5497207641601562e-05,32
68,5.1021575927734375e-05,3.314018249511719e-05,2.2172927856445312e-05,32
69,4.0531158447265625e-05,2.5033950805664062e-05,2.1696090698242188e-05,32
70,0.00015926361083984375,5.078315734863281e-05,0.00010442733764648438,32
71,4.1961669921875e-05,1.8835067749023438e-05,1.7404556274414062e-05,32
72,2.2172927856445312e-05,1.71661376953125e-05,0.00011920928955078125,32
73,5.364418029785156e-05,2.4080276489257812e-05,1.7881393432617188e-05,32
74,2.5510787963867188e-05,1.7404556274414062e-05,1.6927719116210938e-05,32
75,3.9577484130859375e-05,2.384185791015625e-05,2.1219253540039062e-05,32
76,3.910064697265625e-05,1.8358230590820312e-05,1.7404556274414062e-05,32
77,2.2411346435546875e-05,1.71661376953125e-05,1.6450881958007812e-05,32
78,2.86102294921875e-05,1.9073486328125e-05,1.7404556274414062e-05,32
79,2.2649765014648438e-05,1.8358230590820312e-05,1.6927719116210938e-05,32
80,5.3882598876953125e-05,2.4318695068359375e-05,3.314018249511719e-05,32
81,3.218650817871094e-05,1.8596649169921875e-05,1.6927719116210938e-05,32
82,2.2411346435546875e-05,1.811981201171875e-05,1.7881393432617188e-05,32
83,4.6253204345703125e-05,2.0742416381835938e-05,1.811981201171875e-05,32
84,2.6941299438476562e-05,1.7881393432617188e-05,1.7404556274414062e-05,32
85,2.47955322265625e-05,1.7881393432617188e-05,1.7642974853515625e-05,32
86,6.341934204101562e-05,1.4066696166992188e-05,1.1920928955078125e-05,32
87,3.337860107421875e-05,1.7404556274414062e-05,1.8596649169921875e-05,32
