Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,File Size (bytes)
1,0.00019049644470214844,1.5735626220703125e-05,7.152557373046875e-06,463174
2,8.106231689453125e-06,6.9141387939453125e-06,6.67572021484375e-06,463174
3,7.3909759521484375e-06,6.9141387939453125e-06,7.62939453125e-06,463174
4,8.344650268554688e-06,7.3909759521484375e-06,7.152557373046875e-06,463174
5,5.7220458984375e-06,4.5299530029296875e-06,4.291534423828125e-06,463174
6,4.5299530029296875e-06,4.0531158447265625e-06,4.0531158447265625e-06,463174
7,4.76837158203125e-06,4.0531158447265625e-06,4.0531158447265625e-06,463174
8,4.76837158203125e-06,4.291534423828125e-06,4.0531158447265625e-06,463174
9,5.0067901611328125e-06,4.0531158447265625e-06,3.814697265625e-06,463174
10,5.0067901611328125e-06,4.5299530029296875e-06,4.291534423828125e-06,463174
11,5.9604644775390625e-06,4.291534423828125e-06,4.291534423828125e-06,463174
12,4.5299530029296875e-06,4.5299530029296875e-06,4.5299530029296875e-06,463174
13,5.0067901611328125e-06,4.5299530029296875e-06,4.291534423828125e-06,463174
14,5.0067901611328125e-06,4.5299530029296875e-06,4.0531158447265625e-06,463174
15,5.7220458984375e-06,4.76837158203125e-06,4.5299530029296875e-06,463174
16,5.0067901611328125e-06,4.76837158203125e-06,4.76837158203125e-06,463174
17,7.3909759521484375e-06,4.291534423828125e-06,4.291534423828125e-06,463174
18,0.00011372566223144531,1.1444091796875e-05,7.3909759521484375e-06,463174
19,9.059906005859375e-06,7.3909759521484375e-06,6.67572021484375e-06,463174
20,2.7418136596679688e-05,1.239776611328125e-05,2.7179718017578125e-05,463174
21,1.239776611328125e-05,1.049041748046875e-05,1.8596649169921875e-05,463174
22,9.059906005859375e-06,1.1205673217773438e-05,1.0967254638671875e-05,463174
23,1.7642974853515625e-05,1.2636184692382812e-05,2.384185791015625e-05,463174
24,2.8371810913085938e-05,1.1682510375976562e-05,8.344650268554688e-06,463174
25,2.6702880859375e-05,7.62939453125e-06,6.4373016357421875e-06,463174
26,2.5510787963867188e-05,7.152557373046875e-06,6.67572021484375e-06,463174
27,1.0013580322265625e-05,5.8650970458984375e-05,1.049041748046875e-05,463174
28,1.5020370483398438e-05,7.3909759521484375e-06,8.344650268554688e-06,463174
29,9.059906005859375e-06,7.62939453125e-06,1.9550323486328125e-05,463174
30,9.775161743164062e-06,8.106231689453125e-06,8.344650268554688e-06,463174
31,4.57763671875e-05,1.0013580322265625e-05,3.0040740966796875e-05,463174
32,3.504753112792969e-05,1.71661376953125e-05,2.1696090698242188e-05,463174
33,3.0040740966796875e-05,1.7642974853515625e-05,2.002716064453125e-05,463174
34,3.0279159545898438e-05,1.7642974853515625e-05,2.3603439331054688e-05,463174
35,0.00013065338134765625,4.744529724121094e-05,3.3855438232421875e-05,463174
36,2.9802322387695312e-05,9.775161743164062e-06,7.867813110351562e-06,463174
37,1.5020370483398438e-05,1.8596649169921875e-05,1.2636184692382812e-05,463174
38,8.344650268554688e-06,7.62939453125e-06,1.4066696166992188e-05,463174
39,8.58306884765625e-06,6.9141387939453125e-06,6.4373016357421875e-06,463174
40,7.867813110351562e-06,7.152557373046875e-06,6.67572021484375e-06,463174
41,1.6450881958007812e-05,6.9141387939453125e-06,7.3909759521484375e-06,463174
42,2.002716064453125e-05,7.3909759521484375e-06,7.3909759521484375e-06,463174
43,1.9550323486328125e-05,7.152557373046875e-06,7.152557373046875e-06,463174
44,8.082389831542969e-05,1.5735626220703125e-05,1.1444091796875e-05,463174
45,1.1444091796875e-05,2.3603439331054688e-05,8.821487426757812e-06,463174
46,2.5272369384765625e-05,8.821487426757812e-06,7.867813110351562e-06,463174
47,1.6450881958007812e-05,8.106231689453125e-06,7.152557373046875e-06,463174
48,1.5974044799804688e-05,1.0967254638671875e-05,8.58306884765625e-06,463174
49,1.6689300537109375e-05,1.0967254638671875e-05,1.0251998901367188e-05,463174
50,7.271766662597656e-05,1.71661376953125e-05,1.0967254638671875e-05,463174
51,2.6464462280273438e-05,9.298324584960938e-06,8.344650268554688e-06,463174
52,1.1920928955078125e-05,1.7404556274414062e-05,1.0967254638671875e-05,463174
53,1.621246337890625e-05,1.049041748046875e-05,1.0728836059570312e-05,463174
54,1.4066696166992188e-05,2.1696090698242188e-05,8.821487426757812e-06,463174
55,1.7881393432617188e-05,7.867813110351562e-06,6.151199340820312e-05,463174
56,1.049041748046875e-05,1.8596649169921875e-05,7.152557373046875e-06,463174
57,5.0067901611328125e-06,3.814697265625e-06,4.291534423828125e-06,463174
58,4.76837158203125e-06,4.291534423828125e-06,4.0531158447265625e-06,463174
59,5.245208740234375e-06,4.291534423828125e-06,4.0531158447265625e-06,463174
60,1.3828277587890625e-05,9.059906005859375e-06,8.344650268554688e-06,463174
61,1.1682510375976562e-05,1.0728836059570312e-05,9.298324584960938e-06,463174
62,1.2159347534179688e-05,9.298324584960938e-06,8.344650268554688e-06,463174
63,1.1205673217773438e-05,8.821487426757812e-06,1.049041748046875e-05,463174
64,1.6450881958007812e-05,5.1975250244140625e-05,5.435943603515625e-05,463174
65,2.5033950805664062e-05,1.049041748046875e-05,1.0251998901367188e-05,463174
66,1.430511474609375e-05,1.0013580322265625e-05,1.0013580322265625e-05,463174
67,2.47955322265625e-05,1.0013580322265625e-05,9.775161743164062e-06,463174
68,1.4781951904296875e-05,1.0013580322265625e-05,9.298324584960938e-06,463174
69,1.4066696166992188e-05,9.5367431640625e-06,9.059906005859375e-06,463174
70,1.811981201171875e-05,1.049041748046875e-05,9.775161743164062e-06,463174
71,1.3828277587890625e-05,9.5367431640625e-06,9.775161743164062e-06,463174
72,1.4781951904296875e-05,1.0967254638671875e-05,9.059906005859375e-06,463174
73,1.4066696166992188e-05,1.0013580322265625e-05,9.775161743164062e-06,463174
74,1.4781951904296875e-05,1.0251998901367188e-05,8.821487426757812e-06,463174
75,1.3828277587890625e-05,9.5367431640625e-06,9.5367431640625e-06,463174
76,1.33514404296875e-05,1.0013580322265625e-05,9.298324584960938e-06,463174
77,1.4066696166992188e-05,1.049041748046875e-05,1.0251998901367188e-05,463174
78,1.4543533325195312e-05,1.049041748046875e-05,9.059906005859375e-06,463174
79,1.3828277587890625e-05,9.5367431640625e-06,9.5367431640625e-06,463174
80,1.33514404296875e-05,1.049041748046875e-05,9.5367431640625e-06,463174
81,1.4066696166992188e-05,1.0013580322265625e-05,9.298324584960938e-06,463174
82,3.337860107421875e-05,1.33514404296875e-05,1.0728836059570312e-05,463174
83,4.506111145019531e-05,2.5272369384765625e-05,2.4318695068359375e-05,463174
84,3.647804260253906e-05,2.5987625122070312e-05,2.384185791015625e-05,463174
85,3.9577484130859375e-05,2.3126602172851562e-05,3.337860107421875e-05,463174
86,1.8835067749023438e-05,1.049041748046875e-05,9.298324584960938e-06,463174
87,1.33514404296875e-05,9.775161743164062e-06,9.775161743164062e-06,463174
88,1.3828277587890625e-05,1.0013580322265625e-05,9.5367431640625e-06,463174
