Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,7.963180541992188e-05,2.6464462280273438e-05,1.9550323486328125e-05,2.1696090698242188e-05,2.0265579223632812e-05,5.14984130859375e-05,50846
2,3.4809112548828125e-05,1.0013580322265625e-05,8.344650268554688e-06,8.344650268554688e-06,7.867813110351562e-06,7.3909759521484375e-06,50846
3,9.059906005859375e-06,7.3909759521484375e-06,7.3909759521484375e-06,8.106231689453125e-06,7.3909759521484375e-06,7.3909759521484375e-06,50846
4,9.059906005859375e-06,7.3909759521484375e-06,7.62939453125e-06,0.0010516643524169922,0.0014078617095947266,4.267692565917969e-05,50846
5,3.0994415283203125e-05,1.811981201171875e-05,1.6450881958007812e-05,1.7642974853515625e-05,1.8358230590820312e-05,1.5735626220703125e-05,50846
6,9.226799011230469e-05,4.76837158203125e-05,1.6689300537109375e-05,1.71661376953125e-05,1.5020370483398438e-05,1.52587890625e-05,50846
7,1.8596649169921875e-05,1.5497207641601562e-05,1.5497207641601562e-05,1.5735626220703125e-05,1.621246337890625e-05,1.5735626220703125e-05,50846
8,1.7881393432617188e-05,1.5020370483398438e-05,1.52587890625e-05,1.6927719116210938e-05,1.52587890625e-05,1.4781951904296875e-05,50846
9,0.0003864765167236328,2.1219253540039062e-05,1.621246337890625e-05,1.9073486328125e-05,1.6689300537109375e-05,1.621246337890625e-05,50846
10,2.6941299438476562e-05,2.0503997802734375e-05,1.7881393432617188e-05,1.8358230590820312e-05,1.5974044799804688e-05,1.7642974853515625e-05,50846
11,5.6743621826171875e-05,6.580352783203125e-05,5.0067901611328125e-05,2.5033950805664062e-05,1.621246337890625e-05,1.2874603271484375e-05,50846
12,1.8596649169921875e-05,1.2874603271484375e-05,1.4781951904296875e-05,1.3828277587890625e-05,1.4543533325195312e-05,1.2159347534179688e-05,50846
13,1.7642974853515625e-05,1.33514404296875e-05,1.1682510375976562e-05,1.3828277587890625e-05,1.1682510375976562e-05,1.1920928955078125e-05,50846
14,1.6927719116210938e-05,1.2874603271484375e-05,1.1444091796875e-05,1.4781951904296875e-05,1.2159347534179688e-05,7.963180541992188e-05,50846
15,4.315376281738281e-05,1.5497207641601562e-05,1.33514404296875e-05,0.0023031234741210938,9.322166442871094e-05,1.9788742065429688e-05,50846
16,3.504753112792969e-05,8.463859558105469e-05,7.82012939453125e-05,2.9325485229492188e-05,2.9087066650390625e-05,3.123283386230469e-05,50846
17,2.4080276489257812e-05,1.71661376953125e-05,1.5974044799804688e-05,2.3603439331054688e-05,2.5033950805664062e-05,2.002716064453125e-05,50846
18,1.621246337890625e-05,1.2636184692382812e-05,1.239776611328125e-05,1.430511474609375e-05,0.0003578662872314453,1.7404556274414062e-05,50846
19,2.2649765014648438e-05,1.33514404296875e-05,1.2636184692382812e-05,1.5020370483398438e-05,1.2636184692382812e-05,1.1920928955078125e-05,50846
20,2.4080276489257812e-05,2.7179718017578125e-05,2.288818359375e-05,3.0040740966796875e-05,1.7642974853515625e-05,1.5497207641601562e-05,50846
21,1.8835067749023438e-05,1.2159347534179688e-05,1.0967254638671875e-05,1.7642974853515625e-05,1.2159347534179688e-05,1.2159347534179688e-05,50846
22,1.9073486328125e-05,1.430511474609375e-05,5.936622619628906e-05,0.00043392181396484375,3.0040740966796875e-05,1.4543533325195312e-05,50846
23,3.24249267578125e-05,1.9073486328125e-05,2.6226043701171875e-05,2.6702880859375e-05,1.811981201171875e-05,1.1444091796875e-05,50846
24,1.621246337890625e-05,0.0001456737518310547,2.7179718017578125e-05,3.62396240234375e-05,2.3365020751953125e-05,5.53131103515625e-05,50846
25,3.123283386230469e-05,1.6689300537109375e-05,1.4543533325195312e-05,1.52587890625e-05,1.2159347534179688e-05,1.1682510375976562e-05,50846
26,1.4066696166992188e-05,5.078315734863281e-05,2.9087066650390625e-05,1.811981201171875e-05,1.8358230590820312e-05,1.3589859008789062e-05,50846
27,1.4781951904296875e-05,0.0029964447021484375,7.653236389160156e-05,1.9073486328125e-05,1.4066696166992188e-05,1.4781951904296875e-05,50846
28,1.9550323486328125e-05,1.4543533325195312e-05,1.3828277587890625e-05,2.1696090698242188e-05,1.5020370483398438e-05,1.5020370483398438e-05,50846
29,1.7881393432617188e-05,1.7642974853515625e-05,1.4781951904296875e-05,2.09808349609375e-05,1.3113021850585938e-05,1.6450881958007812e-05,50846
